date,id,name,absolute_magnitude_h,is_potentially_hazardous,diameter_min_m,diameter_max_m,velocity_km_s,miss_distance_km
2026-03-21,3414400,(2008 MQ1),24.2,False,38.4197891064,85.9092601232,5.1240927475,62685677.31630987
2026-03-21,3648644,(2013 SK20),27.4,False,8.801465209,19.6806745089,13.6389223707,11745827.438024664
2026-03-21,3661496,(2014 CH13),24.68,False,30.8003021266,68.8715692826,4.1054649236,10788646.754606565
2026-03-21,3713307,(2015 EP7),22.3,False,92.1626548503,206.0819612321,10.1291792436,71840570.25050211
2026-03-21,3772982,(2017 FP101),24.7,False,30.5179232594,68.2401509401,12.4705101097,47055349.055190764
2026-03-21,3781457,(2017 RR15),20.7,True,192.5550781879,430.566244241,11.8603301919,22815415.85093596
2026-03-21,54248642,(2022 DJ4),24.04,False,41.3575664881,92.4783300513,16.7774474398,45169211.24138281
2026-03-21,54278446,(2022 JW1),27.15,False,9.8754063894,22.0820799921,16.6060361452,58506678.9640815
2026-03-21,54431582,(2024 FN1),26.1,False,16.0160337979,35.8129403019,19.2900292028,69708455.13664092
2026-03-21,54523985,(2025 FP),27.23,False,9.5182032982,21.2833495984,10.5818195683,14121085.196699388
2026-03-21,54606472,(2026 FS),25.555,False,20.5851945856,46.0298944234,15.4310939589,809384.270968639
2026-03-21,54606484,(2026 FD1),28.674,False,4.8950257036,10.9456102248,4.499138757,1040042.704254507
2026-03-21,54606539,(2026 FK2),27.173,False,9.7713591583,21.8494233106,14.1622724152,1929944.91711495
2026-03-21,54606540,(2026 FN2),26.747,False,11.8892641636,26.5852028723,12.2476319738,1656204.391639262
2026-03-21,54606558,(2026 FV2),28.279,False,5.8715799203,13.1292518372,3.7964934034,1718106.628904645
2026-03-21,54606559,(2026 FW2),29.261,False,3.7355536369,8.3529518658,16.1955681093,228692.283440245
2026-03-21,54606561,(2026 FY2),25.83,False,18.1365624903,40.5545866065,10.3770584793,3947237.397600388
2026-03-21,54606571,(2026 FJ3),26.477,False,13.4634070575,30.1050933893,13.9573314941,3933715.979160651
2026-03-21,54606577,(2026 FO3),30.745,False,1.8860577072,4.2173532429,5.6197604617,332938.73636146
2026-03-22,3546367,(2010 RA91),23.59,False,50.8809224871,113.773201439,9.8879590483,1795733.008527006
